Site,TreeID,TagNumber,Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,FCnt,DCnt,Fo,Fm,Fo',Fm',Fs,Fv/Fm,Fv'/Fm',PhiPS2,Adark,RedAbs,BlueAbs,%Blue,LeafAbs,PhiCO2,qP,qN,NPQ,ParIn@Fs,PS2/1,ETR,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs,Fv,PARabs,Fv',qP_Fo,qN_Fo
1,1_3,15,11,11:14:16,5139.000022,0,10.47405428,0.058224015,99.96903649,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,9.926127434,0.874963064,0.008750052,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,0.643337727,1.077682233,21.03859138,1.495,5.329205596,1,10.65841119,18.43971443,21.03859138,17.00688553,398.8704224,393.5257263,14.07453728,14.39045906,65.4178009,66.88619232,300.0582275,1498.706299,282.1957703,98.9666214,4.675936222,0.422243118,0.105781481,0.002337234,0.144019693,0.001938404,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,2.007078445,0.000643338,294.1885914,291.5897144,239.7930025,0.614467678,2.501857346,25.2798096,10.88935054,19.73915291,2.308975236,0.057907681,1.424175114,0.884800122,0.036220589,9.893597786,0.25403431,56.29178485,392.1990771,0.015033264,0,1311.312655,0,#DIV/0!,#DIV/0!
1,1_3,15,12,11:14:17,5140.000022,0,10.53781794,0.058510444,99.6186337,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,9.926127434,0.874963064,0.008797758,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,0.647417259,1.079223491,21.04742241,1.495,5.329205596,1,10.65841119,18.43900299,21.04742241,17.0074749,398.8985291,393.5213013,14.07075596,14.3886795,65.40279388,66.88054657,300.0602417,1498.863037,267.3552551,98.9661026,4.675936222,0.422243118,0.105781481,0.002337234,0.144019693,0.001938404,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,2.007091918,0.000647417,294.1974224,291.589003,239.8180806,0.613596242,2.503215023,25.29366073,10.90498123,19.7432127,2.309556949,0.058190998,1.423991532,0.885565417,0.03639794,9.858867924,0.253146738,56.253915,392.1865757,0.015115089,0,1311.449795,0,#DIV/0!,#DIV/0!
1,1_3,15,13,11:14:17,5140.500022,0,10.81323568,0.058941363,94.24981424,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,9.926127434,0.874963064,0.00900771,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,0.653023516,1.080640508,21.05705261,1.495,5.329205596,1,10.65841119,18.43818665,21.05705261,17.00737,399.0313416,393.5154419,14.06869411,14.38939095,65.39627838,66.88699341,300.0410767,1498.872681,256.5940247,98.96567535,4.675936222,0.422243118,0.105781481,0.002337234,0.144019693,0.001938404,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,2.006963723,0.000653024,294.2070526,291.5881866,239.8196235,0.612386816,2.5046963,25.30873751,10.91934657,19.74761963,2.310188548,0.058617208,1.424055793,0.886132755,0.036664741,9.327496518,0.239507283,56.22378957,392.1458317,0.015503444,0,1311.458233,0,#DIV/0!,#DIV/0!
1,1_3,15,14,11:14:18,5141.000022,0,11.17535152,0.058998822,84.72317908,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,9.926127434,0.874963064,0.009285093,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,0.654640552,1.082254587,21.06739807,1.495,5.329205596,1,10.65841119,18.43725204,21.06739807,17.00731659,399.1880493,393.4911194,14.06771183,14.38921928,65.39531708,66.88988495,300.0257263,1498.668335,267.6862488,98.96533203,4.675936222,0.422243118,0.105781481,0.002337234,0.144019693,0.001938404,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,2.006861046,0.000654641,294.2173981,291.587252,239.7869282,0.611621654,2.506288451,25.32491327,10.93569399,19.75232506,2.310863095,0.058674037,1.424033864,0.886829231,0.036700315,8.384657548,0.21531154,56.18613214,392.0756434,0.016014761,0,1311.279438,0,#DIV/0!,#DIV/0!
1,1_3,15,15,11:14:19,5142.000022,0,11.61102989,0.059509652,75.60527395,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,9.926127434,0.874963064,0.009616301,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,0.660784319,1.083098753,21.07364845,1.495,5.329205596,1,10.65841119,18.43641663,21.07364845,17.00845528,399.3785706,393.4631348,14.06563091,14.39016724,65.3901825,66.89893341,300.0147705,1498.831421,262.2466431,98.96702576,4.675936222,0.422243118,0.105781481,0.002337234,0.144019693,0.001938404,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,2.006787763,0.000660784,294.2236485,291.5864166,239.813022,0.610539467,2.507250804,25.33420384,10.94403661,19.75503254,2.311251304,0.059179234,1.424152052,0.887099253,0.037016566,7.482429094,0.192153387,56.17064726,391.9924756,0.016638051,0,1311.422132,0,#DIV/0!,#DIV/0!
1,1_5,17,16,11:36:25,6468.000017,0,7.453127717,0.239461173,343.3413806,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,9.996267319,0.874998134,0.006441151,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,1.180506577,0.489092544,16.96640015,1,6,1,12,18.60047531,16.96640015,17.00514793,399.6014404,396.9611511,14.27735329,14.66504192,65.69481659,67.47869873,300.0331421,1499.846436,2007.145142,98.96537781,4.879256248,0.439346671,0.03676451,0.008611852,0.018200969,0.01003834,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,3.000331421,0.001180507,290.1164001,291.7504753,239.9754243,0.614547013,1.940423959,19.60709898,4.94205706,17.78343773,2.043237399,0.234776191,1.451331415,0.591905984,0.147148965,33.97890944,0.864924388,74.85683392,396.1226743,0.014084464,0,1312.362832,0,#DIV/0!,#DIV/0!
1,1_5,17,17,11:36:26,6468.500017,0,7.496512546,0.240666992,343.2660441,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,9.996267319,0.874998134,0.006473697,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,1.186679707,0.489231236,16.96787643,1,6,1,12,18.60019875,16.96787643,17.00480652,399.5856018,396.9300842,14.27585888,14.66556931,65.68865967,67.48186493,300.0372314,1499.965332,2006.996216,98.96474457,4.879256248,0.439346671,0.03676451,0.008611852,0.018200969,0.01003834,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,3.000372314,0.00118668,290.1178764,291.7501987,239.9944478,0.613733215,1.940605557,19.60905942,4.943490113,17.78403759,2.043314605,0.235935175,1.45137432,0.591940285,0.147877431,33.97123637,0.864802286,74.85450305,396.0867266,0.014167294,0,1312.466866,0,#DIV/0!,#DIV/0!
1,1_5,17,18,11:36:26,6469.500017,0,7.622826979,0.238827893,342.0137165,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,9.996267319,0.874998134,0.006570307,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,1.18074737,0.49045686,16.97663498,1,6,1,12,18.60018158,16.97663498,17.004776,399.6216431,396.9246521,14.27632141,14.66410732,65.69071198,67.47505951,300.0193481,1499.881348,2007.166992,98.96452332,4.879256248,0.439346671,0.03676451,0.008611852,0.018200969,0.01003834,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,3.000193481,0.001180747,290.126635,291.7501816,239.9810103,0.614198023,1.941683251,19.61999296,4.955885635,17.78840828,2.043877224,0.234167417,1.451226391,0.592650833,0.146766335,33.84722442,0.861659045,74.80159265,396.0670841,0.014396541,0,1312.39338,0,#DIV/0!,#DIV/0!
1,1_5,17,19,11:36:27,6470.500017,0,8.119494297,0.239072844,338.660501,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,9.996267319,0.874998134,0.006948192,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,1.181577887,0.490310084,16.97561646,1,6,1,12,18.60088539,16.97561646,17.00526047,399.7477417,396.8852234,14.27624989,14.66429329,65.68762207,67.4730835,300.0310974,1500.001831,2007.712769,98.96472931,4.879256248,0.439346671,0.03676451,0.008611852,0.018200969,0.01003834,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,3.000310974,0.001181578,290.1256165,291.7508854,240.0002876,0.614200926,1.941557899,19.61868549,4.954392206,17.78825092,2.043856966,0.234402896,1.451247816,0.59260915,0.146914338,33.51544481,0.853295817,74.80802582,395.9717803,0.015339561,0,1312.498803,0,#DIV/0!,#DIV/0!
1,1_5,17,20,11:36:28,6471.500017,0,8.608693652,0.240396271,335.5915364,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,9.996267319,0.874998134,0.007321051,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,1.18641134,0.489660109,16.96977234,1,6,1,12,18.60154343,16.96977234,17.00535202,399.838623,396.8123169,14.2739563,14.66360378,65.67432404,67.46708679,300.0184326,1499.974121,2008.612183,98.96466827,4.879256248,0.439346671,0.03676451,0.008611852,0.018200969,0.01003834,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,3.000184326,0.001186411,290.1197723,291.7515434,239.995854,0.613755833,1.940838793,19.6114313,4.947827521,17.78565788,2.043523162,0.235674989,1.451178684,0.592344478,0.147713892,33.21170508,0.845718548,74.83492254,395.8438389,0.016274876,0,1312.474556,0,#DIV/0!,#DIV/0!
